provincia,departamento,registros,hectareas,suma_asegurada_usd,prima_usd,siniestros_totales_usd,resultado_tecnico_usd,loss_ratio_campania,loss_cost_campania
BUENOS AIRES,RIVADAVIA,2,1565.0,287050.33497884346,9626.814609203799,0.0,9626.814609203799,0.0,0.0
BUENOS AIRES,ROJAS,3,442.0,302095.55712270807,7937.374981738496,0.0,7937.374981738496,0.0,0.0
BUENOS AIRES,SALLIQUELLO,2,198.0,78266.25528913963,1867.4089043097151,0.0,1867.4089043097151,0.0,0.0
BUENOS AIRES,SAN NICOLAS,1,14.0,6086.741889985896,153.2918918918919,0.0,153.2918918918919,0.0,0.0
BUENOS AIRES,TRES LOMAS,4,991.75,409389.78155853314,12413.293389335282,0.0,12413.293389335282,0.0,0.0
BUENOS AIRES,ADOLFO ALSINA,7,3876.0,1280660.789844852,48188.222366691014,127970.85211471315,-79782.62974802214,2.655645836879221,0.0999256423945145
BUENOS AIRES,CORONEL SUAREZ,7,2305.0,687360.8603667137,25805.301256391525,13858.948238643095,11946.35301774843,0.5370581843221255,0.020162550761544978
BUENOS AIRES,DAIREAUX,1,230.1,112859.34414668547,3413.4485025566105,98586.80341430898,-95173.35491175237,28.881878059818177,0.8735369158815401
BUENOS AIRES,SAAVEDRA,2,105.0,27254.055007052186,1017.1349086924762,778.8806064880113,238.25430220446492,0.765759389272422,0.028578521848821037
BUENOS AIRES,GENERAL ARENALES,2,119.0,78154.65444287729,2874.2098246895544,0.0,2874.2098246895544,0.0,0.0
BUENOS AIRES,JUNIN,2,110.0,73371.65021156559,2662.6675821767712,0.0,2662.6675821767712,0.0,0.0
BUENOS AIRES,TORNQUIST,3,780.0,272361.21297602257,12432.504105186266,43791.39538566031,-31358.891280474047,3.5223310618005397,0.16078425744680283
CORDOBA,GENERAL ROCA,5,4254.0,1729809.7849083217,73453.68706355004,810.6437235543019,72643.04333999574,0.0110361202542897,0.0004686317135136713
CORDOBA,GENERAL SAN MARTIN,3,687.0,303619.88716502115,15128.680496712928,0.0,15128.680496712928,0.0,0.0
CORDOBA,PRESIDENTE ROQUE SAENZ PENA,6,10422.83,5586250.949929478,187475.7122279036,1810.4262552891396,185665.28597261445,0.009656857593842914,0.00032408609486331703
CORDOBA,RIO CUARTO,4,5330.92,1838584.6438645981,118926.69332359386,6435.205877227053,112491.48744636681,0.054110693717155364,0.0035000868187937345
CORDOBA,RIO PRIMERO,3,1335.0,506160.71932299016,21704.32360116874,799.0363540197461,20905.287247148994,0.0368146166958513,0.0015786218161861485
CORDOBA,RIO TERCERO,3,258.0,88702.7503526093,4744.578195763332,2828.260591188528,1916.3176045748037,0.5961036944683559,0.03188470007914846
