provincia,departamento,provincia_norm,departamento_norm,registros,has,suma_asegurada_usd,suma_asegurada_helada_usd,prima_usd,st_pagado_usd,rsp_usd,hyg_usd,siniestros_total_usd,resultado_tecnico_usd,tasa_prima_pct,loss_cost_campania_pct,loss_ratio_pct,share_suma_asegurada_pct,semaforo_loss_ratio
BUENOS AIRES,CHIVILCOY,BUENOSAIRES,CHIVILCOY,1,216.5,96301.27644569817,0.0,2743.0715266617967,0.0,0.0,0.0,0.0,2743.0715266617967,0.028484269657718865,0.0,0.0,0.00148369049275521,Normal
CORDOBA,RIO TERCERO,CORDOBA,RIOTERCERO,3,258.0,88702.7503526093,0.0,4744.578195763331,744.5609934258583,675.536523009496,0.0,1420.0975164353545,3324.4806793279768,0.05348851277894748,0.01600962214576451,0.2993095398245159,0.0013666218375995812,Normal
BUENOS AIRES,LOBERIA,BUENOSAIRES,LOBERIA,1,143.0,79466.85472496474,0.0,2683.344338933528,0.0,0.0,0.0,0.0,2683.344338933528,0.03376683710737765,0.0,0.0,0.0012243266257334897,Normal
BUENOS AIRES,SALLIQUELLO,BUENOSAIRES,SALLIQUELLO,2,198.0,78266.25528913963,0.0,1867.4089043097151,0.0,0.0,0.0,0.0,1867.4089043097151,0.023859694033027797,0.0,0.0,0.001205829280378515,Normal
BUENOS AIRES,GENERAL ARENALES,BUENOSAIRES,GENERALARENALES,2,119.0,78154.65444287729,26659.92947813822,2874.2098246895544,0.0,0.0,0.0,0.0,2874.2098246895544,0.03677592646501041,0.0,0.0,0.0012041098731110918,Normal
CORDOBA,SANTA MARIA,CORDOBA,SANTAMARIA,1,530.0,77906.82299012694,0.0,3752.3370270270266,0.0,0.0,0.0,0.0,3752.3370270270266,0.04816442107390975,0.0,0.0,0.0012002915938128028,Normal
BUENOS AIRES,JUNIN,BUENOSAIRES,JUNIN,2,110.0,73371.65021156559,18822.990126939352,2662.6675821767712,0.0,0.0,0.0,0.0,2662.6675821767712,0.03629014168959027,0.0,0.0,0.0011304192828435094,Normal
LA PAMPA,ATREUCO,LAPAMPA,ATREUCO,1,140.0,72443.58251057829,0.0,1995.9715120525932,0.0,0.0,0.0,0.0,1995.9715120525932,0.02755208181154127,0.0,0.0,0.0011161207680635472,Normal
SAN LUIS,SAN LUIS,SANLUIS,SANLUIS,1,440.0,64510.57827926657,0.0,5512.615047479912,0.0,0.0,0.0,0.0,5512.615047479912,0.08545288531775018,0.0,0.0,0.0009938988890667417,Normal
BUENOS AIRES,PILA,BUENOSAIRES,PILA,1,91.5,56177.64456981664,0.0,2304.260073046019,0.0,0.0,0.0,0.0,2304.260073046019,0.04101738495252009,0.0,0.0,0.0008655153932525223,Normal
SANTA FE,SAN JUSTO,SANTAFE,SANJUSTO,1,74.0,47874.97531734838,0.0,2435.9630752373996,0.0,0.0,0.0,0.0,2435.9630752373996,0.05088176148583169,0.0,0.0,0.0007375981746129094,Normal
BUENOS AIRES,GUAMINI,BUENOSAIRES,GUAMINI,1,70.0,43007.052186177716,0.0,2093.680058436815,0.0,0.0,0.0,0.0,2093.680058436815,0.048682249817384955,0.0,0.0,0.0006625992593778277,Normal
CORDOBA,RIO SEGUNDO,CORDOBA,RIOSEGUNDO,1,528.0,38673.728631875885,0.0,1862.6963623082545,0.0,0.0,0.0,0.0,1862.6963623082545,0.04816438518351117,0.0,0.0,0.0005958367906251403,Normal
BUENOS AIRES,SAAVEDRA,BUENOSAIRES,SAAVEDRA,2,105.0,27254.055007052186,6281.911142454161,1017.1349086924762,0.0,0.0,0.0,0.0,1017.1349086924762,0.037320498121445965,0.0,0.0,0.0004198966389172631,Normal
BUENOS AIRES,CHASCOMUS,BUENOSAIRES,CHASCOMUS,1,41.5,25479.47813822285,0.0,1045.1015631848065,0.0,0.0,0.0,0.0,1045.1015631848065,0.04101738495252009,0.0,0.0,0.000392556161966991,Normal
SANTA FE,SAN LORENZO,SANTAFE,SANLORENZO,1,46.0,17673.342736248236,0.0,512.5656683710738,0.0,0.0,0.0,0.0,512.5656683710738,0.02900219138056976,0.0,0.0,0.00027228892036297825,Normal
SANTA FE,CONSTITUCION,SANTAFE,CONSTITUCION,2,40.0,14104.372355430183,0.0,402.6661796932067,0.0,0.0,0.0,0.0,402.6661796932067,0.028549032140248353,0.0,0.0,0.00021730265623043019,Normal
BUENOS AIRES,CAPITAN SARMIENTO,BUENOSAIRES,CAPITANSARMIENTO,1,31.0,12985.89562764457,0.0,279.7744338933528,0.0,0.0,0.0,0.0,279.7744338933528,0.021544485025566107,0.0,0.0,0.00020007055559135707,Normal
BUENOS AIRES,SAN NICOLAS,BUENOSAIRES,SANNICOLAS,1,14.0,6086.741889985896,0.0,153.2918918918919,0.0,0.0,0.0,0.0,153.2918918918919,0.025184555984555986,0.0,0.0,9.377696129624216e-05,Normal
