provincia,departamento,cultivo,provincia_norm,departamento_norm,cultivo_norm,registros,has,suma_asegurada_usd,suma_asegurada_helada_usd,prima_usd,st_pagado_usd,rsp_usd,hyg_usd,siniestros_total_usd,resultado_tecnico_usd,tasa_prima_pct,loss_cost_campania_pct,loss_ratio_pct,share_suma_asegurada_pct,semaforo_loss_ratio
BUENOS AIRES,9 DE JULIO,SOJA,BUENOSAIRES,9DEJULIO,SOJA,1,565.0,343078.9844851904,0.0,6460.173046018992,0.0,0.0,0.0,0.0,6460.173046018992,0.0188299876651228,0.0,0.0,0.005285735000945853,Normal
BUENOS AIRES,BALCARCE,TRIGO,BUENOSAIRES,BALCARCE,TRIGO,1,474.8,335437.90197461215,0.0,7781.0,0.0,0.0,0.0,0.0,7781.0,0.023196543843721364,0.0,0.0,0.0051680106893507135,Normal
LA PAMPA,QUEMU QUEMU,TRIGO,LAPAMPA,QUEMUQUEMU,TRIGO,1,985.0,319551.269393512,0.0,11014.728867786705,3496.161431701972,1308.325566106647,0.0,4804.486997808619,6210.2418699780865,0.03446936351932496,0.015035105342961805,0.4361874954416404,0.004923249180548029,Normal
CORDOBA,PRESIDENTE ROQUE SAENZ PEÑA,GIRASOL,CORDOBA,PRESIDENTEROQUESAENZPENA,GIRASOL,2,829.0,315327.3624823695,0.0,16903.449525200875,0.0,0.0,0.0,0.0,16903.449525200875,0.053606034668640515,0.0,0.0,0.004858172467573421,Normal
LA PAMPA,GUATRACHE,FINA OTROS,LAPAMPA,GUATRACHE,FINAOTROS,1,968.0,314473.1311706629,0.0,8151.519327976626,9760.682980277576,896.4001095690285,0.0,10657.083089846605,-2505.5637618699784,0.025921194913001457,0.03388869201694393,1.307373835607639,0.004845011532198825,Crítico
BUENOS AIRES,RAMALLO,FINA OTROS,BUENOSAIRES,RAMALLO,FINAOTROS,1,858.0,308544.9400564175,0.0,9087.913177501829,0.0,0.0,0.0,0.0,9087.913177501829,0.029454098893471087,0.0,0.0,0.004753677324386933,Normal
SANTA FE,9 DE JULIO,GIRASOL,SANTAFE,9DEJULIO,GIRASOL,1,1407.7,304326.5162200282,0.0,14090.295471146823,0.0,0.0,0.0,0.0,14090.295471146823,0.04629992695398101,0.0,0.0,0.004688685087819935,Normal
BUENOS AIRES,ADOLFO ALSINA,FINA OTROS,BUENOSAIRES,ADOLFOALSINA,FINAOTROS,3,972.0,303992.13681241183,13725.952045133992,9216.224499634769,0.0,0.0,0.0,0.0,9216.224499634769,0.030317312139300293,0.0,0.0,0.004683533385097352,Normal
BUENOS AIRES,LINCOLN,MAIZ,BUENOSAIRES,LINCOLN,MAIZ,1,447.0,302410.6629055007,0.0,5283.296362308255,0.0,0.0,0.0,0.0,5283.296362308255,0.017470602099633026,0.0,0.0,0.00465916799881353,Normal
CORDOBA,RIO CUARTO,MAIZ,CORDOBA,RIOCUARTO,MAIZ,1,585.0,292575.8110014104,0.0,15552.510226442659,0.0,0.0,0.0,0.0,15552.510226442659,0.053157197695908244,0.0,0.0,0.004507644812347957,Normal
BUENOS AIRES,CARLOS TEJEDOR,SOJA,BUENOSAIRES,CARLOSTEJEDOR,SOJA,1,500.0,287993.65303244005,0.0,6024.609203798393,0.0,0.0,0.0,0.0,6024.609203798393,0.020919242977621356,0.0,0.0,0.004437048611905097,Normal
CORDOBA,SAN JUSTO,TRIGO,CORDOBA,SANJUSTO,TRIGO,1,1573.0,283937.8138222849,0.0,8366.412629656683,713.6809349890431,1871.8688093498904,0.0,2585.5497443389336,5780.862885317749,0.029465651358762567,0.009106042303887056,0.3090392332759031,0.00437456127738213,Normal
BUENOS AIRES,OLAVARRIA,GIRASOL,BUENOSAIRES,OLAVARRIA,GIRASOL,1,400.0,279456.9816643159,0.0,7757.513513513513,0.0,0.0,0.0,0.0,7757.513513513513,0.027759240321402485,0.0,0.0,0.0043055261792216285,Normal
BUENOS AIRES,ADOLFO ALSINA,GIRASOL,BUENOSAIRES,ADOLFOALSINA,GIRASOL,1,823.0,266376.58674189,0.0,9039.619218407597,0.0,0.0,0.0,0.0,9039.619218407597,0.033935487082303845,0.0,0.0,0.004103999695833528,Normal
CORDOBA,TERCERO ARRIBA,TRIGO,CORDOBA,TERCEROARRIBA,TRIGO,1,873.0,264090.21156558534,0.0,14142.196179693206,879.0416362308255,800.9284149013879,0.0,1679.9700511322135,12462.226128560993,0.05355062611315706,0.006361349181300505,0.11879131287575292,0.00406877406604795,Normal
LA PAMPA,CONHELLO,TRIGO,LAPAMPA,CONHELLO,TRIGO,1,1026.0,257349.92947813822,0.0,12469.395091307522,821.7677136596055,647.5834550766983,0.0,1469.3511687363039,11000.043922571218,0.048453073667412035,0.005709545643614115,0.11783660377884697,0.003964928168872614,Normal
LA PAMPA,TRENEL,MAIZ,LAPAMPA,TRENEL,MAIZ,1,992.0,252634.69675599434,0.0,6725.144616508401,0.0,0.0,0.0,0.0,6725.144616508401,0.026620035580480223,0.0,0.0,0.0038922817178682193,Normal
SANTA FE,ROSARIO,TRIGO,SANTAFE,ROSARIO,TRIGO,1,620.0,252391.25528913963,0.0,7853.05472607743,0.0,0.0,0.0,0.0,7853.05472607743,0.03111460702979176,0.0,0.0,0.003888531074021682,Normal
SANTA FE,GENERAL LOPEZ,TRIGO,SANTAFE,GENERALLOPEZ,TRIGO,1,699.0,250839.95063469675,0.0,7654.2093498904305,0.0,0.0,0.0,0.0,7654.2093498904305,0.030514315325461887,0.0,0.0,0.0038646304981195378,Normal
SANTA FE,ROSARIO,FINA OTROS,SANTAFE,ROSARIO,FINAOTROS,1,544.5,250752.76798307477,0.0,8246.310934989044,605.2858290723156,1008.4222790357926,0.0,1613.7081081081083,6632.602826880935,0.032886220963054935,0.006435454815067206,0.19568848674637712,0.003863287296075714,Normal
BUENOS AIRES,LEANDRO N. ALEM,SOJA,BUENOSAIRES,LEANDRONALEM,SOJA,1,701.0,249734.73201692523,0.0,4475.065346968589,0.0,0.0,0.0,0.0,4475.065346968589,0.017919275027653347,0.0,0.0,0.003847602661977321,Normal
SANTA FE,IRIONDO,TRIGO,SANTAFE,IRIONDO,TRIGO,2,450.0,237469.88716502115,7512.77856135402,6574.377348429512,0.0,0.0,0.0,0.0,6574.377348429512,0.027685099053678688,0.0,0.0,0.0036586411614291043,Normal
BUENOS AIRES,CORONEL SUAREZ,FINA OTROS,BUENOSAIRES,CORONELSUAREZ,FINAOTROS,3,796.0,236922.4964739069,12586.671368124118,10550.747830533237,9609.056508400292,1527.492520087655,0.0,11136.549028487947,-585.8011979547118,0.04453248630906279,0.0470050298905003,1.0555222442393548,0.0036502076453408016,Crítico
BUENOS AIRES,BRAGADO,SOJA,BUENOSAIRES,BRAGADO,SOJA,1,391.0,230405.2891396333,0.0,6098.185032870709,0.0,0.0,0.0,0.0,6098.185032870709,0.026467209392814786,0.0,0.0,0.003549798606976407,Normal
LA PAMPA,TRENEL,GIRASOL,LAPAMPA,TRENEL,GIRASOL,1,884.0,229167.8420310296,0.0,8397.886201607012,0.0,0.0,0.0,0.0,8397.886201607012,0.036645133659154186,0.0,0.0,0.0035307335584320297,Normal
BUENOS AIRES,MAIPU,TRIGO,BUENOSAIRES,MAIPU,TRIGO,1,272.0,228725.52891396332,0.0,6325.555704894083,0.0,0.0,0.0,0.0,6325.555704894083,0.027655661066471875,0.0,0.0,0.003523918947132643,Normal
SANTA FE,GENERAL LOPEZ,SOJA,SANTAFE,GENERALLOPEZ,SOJA,1,505.5,216393.8645980254,0.0,5114.495982468956,0.0,0.0,0.0,0.0,5114.495982468956,0.023635124738724343,0.0,0.0,0.003333927975250535,Normal
BUENOS AIRES,ADOLFO ALSINA,MAIZ,BUENOSAIRES,ADOLFOALSINA,MAIZ,1,409.0,211638.75176304654,0.0,6554.49388604821,0.0,0.0,0.0,0.0,6554.49388604821,0.030970197241508516,0.0,0.0,0.0032606671009856483,Normal
CORDOBA,RIO CUARTO,TRIGO,CORDOBA,RIOCUARTO,TRIGO,1,1047.0,207036.17771509168,0.0,15219.462096420744,759.9747260774288,800.9284149013879,0.0,1560.9031409788167,13658.558955441928,0.07351112382573385,0.007539277232633321,0.1025596785937595,0.0031897563549478937,Normal
BUENOS AIRES,LEANDRO N. ALEM,MAIZ,BUENOSAIRES,LEANDRONALEM,MAIZ,1,308.0,192348.66008462623,0.0,3183.8163915266623,0.0,0.0,0.0,0.0,3183.8163915266623,0.01655231905502176,0.0,0.0,0.002963469320395616,Normal
LA PAMPA,GUATRACHE,TRIGO,LAPAMPA,GUATRACHE,TRIGO,1,620.0,185803.24400564175,111481.94640338505,9141.546749452154,40001.68817384952,889.6287436084733,0.0,40891.316917457996,-31749.77016800584,0.04920014609203798,0.22007859516282915,4.473128895819363,0.0028626256767187606,Crítico
LA PAMPA,CAPITAL,GIRASOL,LAPAMPA,CAPITAL,GIRASOL,1,520.0,181323.69534555712,0.0,6154.891526661797,0.0,0.0,0.0,0.0,6154.891526661797,0.033944220665325237,0.0,0.0,0.002793610353099976,Normal
BUENOS AIRES,BOLIVAR,FINA OTROS,BUENOSAIRES,BOLIVAR,FINAOTROS,1,348.0,180534.2031029619,0.0,5460.282688093499,55874.924178232286,700.5587216946676,0.0,56575.48289992695,-51115.20021183345,0.030245142439737038,0.31337819608432277,10.361273606455114,0.0027814468369174775,Crítico
